source,controller,joint,angle_deg,outbound_samples,outbound_duration_s,outbound_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,final_error_deg,max_abs_error_deg,rms_error_deg,max_abs_tau_cmd_joint,max_abs_tau_state_joint,max_abs_dq_actual_joint,q_des_prefix,tau_cmd_prefix,tau_state_prefix,file
sdk,sdk_lowcmd,1,5.0,1248,4.99487057100032,249.85632405487212,4.9999999998071,4.897389068871712,97.94778138121308,0.10260068565163231,0.16895965915485175,0.1224638462952206,0.002832812556416331,1.1540855169296265,0.05008093640208244,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j1_pos5deg_sdk_lowcmd.csv
sim,augpd_fric2p5,1,5.0,3315,7.9989418299999215,414.42981714995574,5.000000000000001,5.001448954116706,100.0289790823341,-0.0014499736868659545,0.0894220600949592,0.03635663402298745,1.0470493760103277,nan,0.04421631588435424,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j1_pos5.csv
sim,augpd_nofric,1,5.0,2418,7.999988088000009,302.25045005091977,5.0,2.2034023153674998,44.068046307349995,2.7965999167110698,3.0706602506434946,2.460285716065633,1.0437612486176693,nan,0.03836657327218954,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j1_pos5.csv
sim,computed_torque_baseline,1,5.0,2897,7.999462352000137,362.14933860844434,5.000000000000001,0.005786879020612739,0.11573758041225475,4.994212106750778,4.997007238373446,3.9414614418209393,0.04014197658549713,nan,8.714727891351901e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j1_pos5.csv
sim,cpid_fric2p5,1,5.0,3132,7.997367069999882,391.62889143214556,5.000000000000001,4.997032835494326,99.9406567098865,0.0029637717759363074,0.144555643793302,0.06200687841419876,1.045639598609256,nan,0.04452188745032867,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j1_pos5.csv
sdk,sdk_lowcmd,1,10.0,1206,4.9948754950000875,241.44745974293377,9.999999999616135,9.894953107205417,98.9495310758525,0.10507079807281147,0.24341790640057742,0.14695274915966244,0.005666403900594779,1.3082919120788574,0.10349401831626892,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j1_pos10deg_sdk_lowcmd.csv
sim,augpd_fric2p5,1,10.0,3283,7.997826147000069,410.48654217514235,10.000000000000002,10.000218840460338,100.00218840460337,-0.00022041146478896735,0.17332347424106098,0.07540761304177838,1.0907814067903936,nan,0.08698663760550455,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j1_pos10.csv
sim,augpd_nofric,1,10.0,2540,7.998552225000026,317.55746897057884,10.0,7.205509296431398,72.05509296431399,2.7944966901536565,3.255249535205867,2.618047129075254,1.0902276419145365,nan,0.08566057222171497,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j1_pos10.csv
sim,computed_torque_baseline,1,10.0,3063,7.9986765119999745,382.9383517891678,10.000000000000002,0.012834434270859235,0.12834434270859232,9.987163565622522,9.993248804075643,7.974287980146211,0.08028147669411433,nan,9.511044843974884e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j1_pos10.csv
sim,cpid_fric2p5,1,10.0,3184,7.9998996860001625,398.00499068407134,10.000000000000002,9.992175187274993,99.92175187274991,0.00782134627840927,0.263530337953067,0.12041956820666162,1.0904846503073915,nan,0.08866848054618272,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j1_pos10.csv
sdk,sdk_lowcmd,1,30.0,1224,4.9970094720001725,244.94650387566,29.999999999866446,29.89280443089729,99.64268143676789,0.10722971991500582,0.4082821596813387,0.22385982909311977,0.017001556382089302,2.092926502227783,0.27905288338661194,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j1_pos30deg_sdk_lowcmd.csv
sim,augpd_fric2p5,1,30.0,3317,7.999406718000046,414.6557509741538,29.999999999999996,30.004341576959394,100.01447192319799,-0.004342055326778832,0.47471768491994754,0.20165526845942253,1.270034058781571,nan,0.25894922983732427,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j1_pos30.csv
sim,augpd_nofric,1,30.0,2911,7.998258675000102,363.9542203228333,29.999999999999996,27.207689182278283,90.69229727426095,2.792313309305962,4.209851978940439,3.0521992491504304,1.2940589364811954,nan,0.2734309606345414,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j1_pos30.csv
sim,computed_torque_baseline,1,30.0,2901,7.9995228679999855,362.6466287889116,29.999999999999996,0.03908703536036434,0.13029011786788117,29.960910942863666,29.97943634243885,23.898103605864645,0.24081693479063693,nan,0.00018620914051240868,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j1_pos30.csv
sim,cpid_fric2p5,1,30.0,3177,7.997722237000062,397.2381017813004,29.999999999999996,29.981324435143147,99.93774811714383,0.018673165475201564,0.8175938821834758,0.3637176645254371,1.274660058282981,nan,0.26790418559103274,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j1_pos30.csv
sdk,sdk_lowcmd,2,5.0,1224,4.997082411000065,244.94292855879502,4.999999999979766,4.89618238097897,97.92364761997565,0.10381750704201566,0.1575759450181302,0.11173649149300124,3.804854679546294,5.404542446136475,0.049398697912693024,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j2_pos5deg_sdk_lowcmd.csv
sim,augpd_fric2p5,2,5.0,3351,7.998492530999783,418.95394501057774,5.0,4.921464849056132,98.42929698112265,0.07853515094625926,0.18717892460260888,0.11051353988740256,6.650717662128104,nan,0.17223371420826913,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j2_pos5.csv
sim,augpd_nofric,2,5.0,2990,7.997193852000009,373.8811457286651,5.0,1.875312403707625,37.5062480741525,3.124686960353901,3.3062003142883833,2.6467599000207267,5.230603346909591,nan,0.029292191126984533,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j2_pos5.csv
sim,computed_torque_baseline,2,5.0,3040,7.996194686999843,380.18083838584005,5.0,-2.784652404755763e-05,-0.0005569304809511527,5.000029056821131,5.000031369110593,3.9458927713243086,3.841808613385833,nan,0.0028724396809541464,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j2_pos5.csv
sim,cpid_fric2p5,2,5.0,3185,7.999206006000122,398.16451752973535,5.0,4.9041836208101035,98.08367241620206,0.0958151587503041,0.21757946837194309,0.1136551319543989,6.376988006770315,nan,0.1929995552322792,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j2_pos5.csv
sdk,sdk_lowcmd,2,10.0,1282,4.998371764999774,256.4835230898552,9.999999999996199,9.895763929559964,98.95763929563725,0.10423601259390451,0.22199782419156344,0.13495672794960295,3.806840928956905,5.620362281799316,0.1095408946275711,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j2_pos10deg_sdk_lowcmd.csv
sim,augpd_fric2p5,2,10.0,3307,7.998247895000077,413.46555438314135,10.0,9.904700664412482,99.04700664412483,0.09530054518472571,0.19416924755823461,0.10940580763163679,6.955976684748864,nan,0.20679734035325448,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j2_pos10.csv
sim,augpd_nofric,2,10.0,3279,7.998446530000024,409.95460652282316,10.0,6.862769181271834,68.62769181271834,3.1372306430947297,3.646675221155425,2.8975020966802654,5.290836900214253,nan,0.07889635080689561,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j2_pos10.csv
sim,computed_torque_baseline,2,10.0,2891,7.998459570000023,361.44459751266726,10.0,-2.5144573229673508e-05,-0.00025144573229673507,10.000026352551663,10.000026354361424,7.9182535880545,3.884472499831283,nan,0.0028718990854057136,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j2_pos10.csv
sim,cpid_fric2p5,2,10.0,3122,7.998337345999971,390.3311232004156,10.0,9.91407655481721,99.1407655481721,0.08592344518502905,0.2229180656210954,0.11326818571889254,6.471035654060626,nan,0.25432382486778043,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j2_pos10.csv
sdk,sdk_lowcmd,2,30.0,1236,4.99739276299988,247.32896904786062,29.99999999992251,29.89080270475381,99.63600901610337,0.10919729516870419,0.3987017855457224,0.20619321033082438,3.811019916211762,6.166650295257568,0.2946377396583557,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j2_pos30deg_sdk_lowcmd.csv
sim,augpd_fric2p5,2,30.0,3348,7.999191362999909,418.54230609935195,29.999999999999996,29.89143434342489,99.63811447808298,0.10856686848842247,0.18908865748099574,0.09781623816022116,7.921312624512488,nan,0.35903211456840556,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j2_pos30.csv
sim,augpd_nofric,2,30.0,3272,7.997692884000003,409.11798533123056,29.999999999999996,26.709905179854744,89.03301726618248,3.2900945313524677,4.83282535707329,3.478048819595135,5.4807951691699905,nan,0.25391424043174093,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j2_pos30.csv
sim,computed_torque_baseline,2,30.0,2773,7.998226606000117,346.7018548736477,29.999999999999996,-4.503432001683158e-06,-1.5011440005610527e-05,30.000004503434493,30.000004842394958,23.98042640437842,4.059903334606212,nan,0.00287198340399875,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j2_pos30.csv
sim,cpid_fric2p5,2,30.0,2989,7.999484665999944,373.6490692586848,29.999999999999996,29.91899322489894,99.7299774163298,0.08100677510324665,0.2816864775169457,0.10997771368899273,6.81598375936043,nan,0.4770703680799985,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j2_pos30.csv
sdk,sdk_lowcmd,3,-30.0,1254,4.996408219999921,250.98029319950558,-29.99999999972161,-29.885992944706217,99.61997648327849,-0.11401609967995918,0.37787459735729145,0.21033638330550367,7.381984068311948,9.656352996826172,0.3022429049015045,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j3_neg30deg_sdk_lowcmd.csv
sim,augpd_fric2p5,3,-30.0,3287,7.99968614699992,410.8911199263369,-29.999999999999996,-28.978549022388627,96.5951634079621,-1.021444388193649,2.0200342419363366,1.3730479458080076,9.178721282662586,nan,0.26244760394540484,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j3_neg30.csv
sim,augpd_nofric,3,-30.0,3341,7.998795890999986,417.68786771508906,-29.999999999999996,-26.616545847358317,88.7218194911944,-3.3834435867519597,4.804013328287751,3.599437760532672,9.210381358605211,nan,0.256264828582395,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j3_neg30.csv
sim,computed_torque_baseline,3,-30.0,2768,7.998049886999979,346.08436295191206,-29.999999999999996,-0.041926364211097494,0.139754547370325,-29.95807280759068,29.974199127959352,23.48477326813616,7.739886870269984,nan,0.002624450193015935,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j3_neg30.csv
sim,cpid_fric2p5,3,-30.0,2867,7.9967813939999814,358.5192415227359,-29.999999999999996,-29.01127586608204,96.70425288694014,-0.9887233280946063,2.388072806102335,1.3890544311315478,9.226697540559785,nan,0.3052567485123265,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j3_neg30.csv
sdk,sdk_lowcmd,3,-10.0,1273,4.998769598999843,254.66266744014422,-9.999999999998863,-9.880171403902747,98.8017140390387,-0.11982480747556125,0.2221522443238806,0.14177622941121956,7.373279271841635,9.22831916809082,0.09644178301095963,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j3_neg10deg_sdk_lowcmd.csv
sim,augpd_fric2p5,3,-10.0,3341,7.998689961000082,417.6933993303914,-10.0,-8.734738150099865,87.34738150099865,-1.2652305205959404,1.643303174817785,1.304528871406041,9.103409990834,nan,0.08661719258403247,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j3_neg10.csv
sim,augpd_nofric,3,-10.0,3209,7.998270149000064,401.2117545693535,-10.0,-6.416804974421338,64.16804974421339,-3.5831916982770036,4.070306447353019,3.3210302019174174,9.110918668934923,nan,0.07898345727392417,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j3_neg10.csv
sim,computed_torque_baseline,3,-10.0,2898,7.9994572380001046,362.27457860934965,-10.0,-0.04161318903104015,0.4161318903104015,-9.958356402736149,9.974341580999617,7.903811182403718,7.513858894762821,nan,0.0026249841800975323,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j3_neg10.csv
sim,cpid_fric2p5,3,-10.0,2989,7.999841432000039,373.63240576791287,-10.0,-8.757275948174293,87.57275948174293,-1.2426930201918123,1.6683009180535269,1.2951761070512895,9.136036103094979,nan,0.09403540934776528,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j3_neg10.csv
sdk,sdk_lowcmd,3,-5.0,1275,4.998985609000101,255.05174443881344,-4.999999999999751,-4.879766540482845,97.59533080966176,-0.1202307647938349,0.17488408680315407,0.12611351843115187,7.37199256516109,9.176281929016113,0.05187913030385971,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j3_neg5deg_sdk_lowcmd.csv
sim,augpd_fric2p5,3,-5.0,3310,7.999453286000062,413.77827729713357,-5.0,-3.707636087836935,74.1527217567387,-1.292333528326381,1.5170684748657455,1.2485962776036494,9.077885748775863,nan,0.04171944961249833,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j3_neg5.csv
sim,augpd_nofric,3,-5.0,3315,7.99953587899995,414.39904141219,-5.0,-1.4021343299658617,28.042686599317232,-3.5978583883297106,3.8003848184866555,3.067988836831335,9.052304416080988,nan,0.02336173445325195,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j3_neg5.csv
sim,computed_torque_baseline,3,-5.0,2820,7.99895152299996,352.54620457336836,-5.0,-0.03980793506722219,0.7961587013444438,-4.960191121868138,4.975669280441203,3.926581613024245,7.455284004396033,nan,0.002600509434050799,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j3_neg5.csv
sim,cpid_fric2p5,3,-5.0,3187,7.998762096999826,398.4366532410533,-5.0,-3.7338499863393184,74.67699972678636,-1.2661790010562581,1.5122230543049633,1.24068397095933,9.090203655863201,nan,0.04525997609828814,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j3_neg5.csv
sdk,sdk_lowcmd,4,-30.0,1291,4.99983750399997,258.20839156616074,-30.000000000000213,-29.82943948530661,99.43146495102134,-0.17055368450443117,0.5208709570540949,0.2960252610680449,2.135346953119014,4.788595676422119,0.29041385650634766,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j4_neg30deg_sdk_lowcmd.csv
sim,augpd_fric2p5,4,-30.0,2998,7.999800300999823,374.75935488355964,-29.999999999999996,-29.886041154929213,99.62013718309738,-0.11395888973330395,1.2143811341758395,0.6054226777222376,3.9984985171125556,nan,0.27600402664438617,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg30.csv
sim,augpd_nofric,4,-30.0,3309,7.999702382999999,413.6403883014307,-29.999999999999996,-24.041296066009043,80.13765355336349,-5.958698888372696,7.54672880732055,5.8153704869594645,4.021365767084545,nan,0.25750164805115944,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j4_neg30.csv
sim,computed_torque_baseline,4,-30.0,2760,7.997455788000025,345.10975404719443,-29.999999999999996,-0.016202835911746608,0.054009453039155365,-29.98380006276233,29.989432755972924,24.000665006834204,2.1926625208207637,nan,5.5921039828593286e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg30.csv
sim,cpid_fric2p5,4,-30.0,2954,7.998201480000034,369.33303160549883,-29.999999999999996,-29.90041902087734,99.66806340292446,-0.09958377972339215,5.121720933429099,2.4578028719100127,4.009757841826049,nan,0.2913949851844514,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j4_neg30.csv
sdk,sdk_lowcmd,4,-10.0,1245,4.999838023999928,249.00806666612485,-10.0,-9.820336705617613,98.20336705617613,-0.17966841702426414,0.2843699063996542,0.2048213338437528,2.1346288555427084,3.975531578063965,0.095875583589077,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j4_neg10deg_sdk_lowcmd.csv
sim,augpd_fric2p5,4,-10.0,3202,7.999063025999931,400.2968834715152,-10.0,-9.585271971061426,95.85271971061427,-0.4147245789001755,0.7176723323702185,0.4890178883252129,3.862079920526079,nan,0.09000520504434763,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg10.csv
sim,augpd_nofric,4,-10.0,3298,7.998133411000026,412.3462101124971,-10.0,-3.8047642336954794,38.047642336954794,-6.195255171972513,6.5403543368200685,5.309006747711685,3.8507404719082956,nan,0.062474525313213056,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j4_neg10.csv
sim,computed_torque_baseline,4,-10.0,2868,7.999023244999989,358.5437761782631,-10.0,-0.015793899746431764,0.15793899746431767,-9.984208199786668,9.990225765229118,7.950635019233582,2.1646997962924077,nan,7.433882556919002e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg10.csv
sim,cpid_fric2p5,4,-10.0,2952,7.9992237139999816,369.0358096665687,-10.0,-9.35758242224849,93.5758242224849,-0.6424217927722382,3.6415115247110856,2.138691114946447,3.856964817203814,nan,0.08385038704033256,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j4_neg10.csv
sdk,sdk_lowcmd,4,-5.0,1257,4.999843547000182,251.40786670298468,-5.0000000000000355,-4.819386174116051,96.38772348232034,-0.18064968437712678,0.23776853500416195,0.1837634058742061,2.134835895324059,3.8784961700439453,0.049271635711193085,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j4_neg5deg_sdk_lowcmd.csv
sim,augpd_fric2p5,4,-5.0,3321,7.998946154999885,415.1796918803047,-5.000000000000001,-4.546317541268362,90.92635082536722,-0.4536853470155836,0.5888946800428297,0.4652021128277922,3.8260879645971944,nan,0.04385350085712009,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg5.csv
sim,augpd_nofric,4,-5.0,3332,7.998369156999956,416.5849230757152,-5.0,0.007446495949974996,-0.14892991899949992,-5.0074566767562025,5.0074566767562025,3.961460609161181,3.466335581253789,nan,0.0016013297645664612,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j4_neg5.csv
sim,computed_torque_baseline,4,-5.0,2804,7.998415987000044,350.5694133135095,-5.000000000000001,-0.016065020051526126,0.3213004010305225,-4.983937919072949,4.990127572066511,3.980203598559922,2.157869652412195,nan,5.628904303955348e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg5.csv
